id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
13,water,23.45607812970348,75.68339678660554,-31.105300066477668,-34.87140478186338,-27.63460194069966,-25.40926773709472,-37.33486652907556,-27.398031771190645,-26.2130438544895,-25.092261488745883,-28.7416143742998,-33.80238594334224,-26.98446916929812,-38.79084833650418
14,water,23.453243527299016,75.68339678660554,-36.33870390581049,-20.00218234706721,-15.028730738569866,-19.082405821711703,-19.134547255102635,-20.73124739172183,-21.82689716336037,-17.042133553672976,-15.64376085995769,-16.23137415946267,-19.51700999111721,-19.001654164277628
15,water,23.38399413494481,75.75518121167626,-18.28489400446757,-14.150421130179238,-21.95848434985273,-13.25656033682611,-16.995028637111563,-15.80697550880579,-17.351662087366368,-15.488578701587333,-16.1476926727469,-16.957956469658615,-17.184199249747326,-20.587205526034005
16,water,23.386830221700944,75.76616753980126,-24.354103168801277,-19.546076566722377,-16.00899773739657,-18.966399609289187,-18.27504922473007,-16.56675155143386,-19.90291478203105,-19.19794362596468,-22.277881078616662,-28.700977550069865,-20.640100581525985,-23.724542050750813
17,water,23.386515103948167,75.76067437573876,-18.55111535551424,-27.081439327713603,-19.194398509705223,-15.188805492814478,-15.801370887607098,-15.454995426352376,-19.273338448929746,-19.505038655039957,-16.229571247876663,-19.496395017354477,-21.09958184599348,-17.089992988148794
18,rice,23.386515103948163,75.8499382917544,-22.538950038673484,-20.528922375056467,-14.47217586095525,-19.30507541688448,-18.903831222238107,-25.12520318912785,-18.049158364194405,-19.745582903036325,-22.245141298193083,-24.81361920721492,-24.06968858906376,-24.549125217962956
19,rice,23.383048759202666,75.85714806958642,-17.36802355313399,-15.459655699466646,-20.022872229653597,-14.628948671117357,-20.6202721189985,-15.217280854310388,-18.84962469310526,-19.56401772643264,-16.98412408191039,-19.315318054469877,-17.39725829575024,-15.909488337139344
20,rice,23.38746045495797,75.84753503247704,-15.549841511494504,-18.590432351709325,-18.591885071649344,-14.455207728843533,-17.866586819765867,-20.8504753215314,-22.65616987891081,-17.188851715581315,-21.71268810910409,-15.43622259601774,-16.43181812540526,-28.48798424761008
21,rice,23.38178824772144,75.84822167798485,-14.122614921808578,-16.161087968400274,-20.613371051211896,-18.18533974941319,-23.615977760767013,-19.437793022490485,-15.07361810433352,-21.347848836442516,-17.022482345991847,-19.99477670059551,-17.698730835110588,-16.82885555515487
22,rice,23.38462438169242,75.85165490552392,-21.17809110411236,-19.072110055961502,-15.248943874813754,-20.941589864955876,-19.117747506875297,-18.227818553367705,-15.2063000002166,-15.86198567268071,-15.887755524694471,-16.29207347038676,-22.033818183279514,-15.599604029863528
23,rice,23.38367901044685,75.86264123364892,-15.792533826334594,-17.676287620010765,-16.250574029854036,-15.421043254749788,-12.681111488795802,-13.201710289479676,-12.30220697853966,-13.755577872204997,-14.604327747500449,-10.991809314584147,-19.941227489629256,-11.749769173055943
24,rice,23.38367901044685,75.85440148755517,-22.346965451606096,-21.61129958640742,-16.97313200198392,-19.24114359048932,-15.53941448246804,-19.314312148649183,-25.29495398622818,-23.304549898111915,-26.68401137703867,-23.98130736701049,-21.952461991754397,-16.233628427164536
25,rice,23.39344752136181,75.86058129712548,-21.086421399441804,-23.374121125587774,-16.1441294028722,-18.128763934575897,-15.549633346674376,-20.17508619732814,-20.53404077540105,-24.748251922259318,-25.573015303745137,-23.820386113801558,-15.469031742215256,-20.68644213985315
26,rice,23.394392822898475,75.8564614240786,-16.39602895623503,-14.974130300448367,-16.07771156575361,-16.483151917395375,-18.27797653705675,-19.17139962250801,-23.40864242591102,-18.35875413784042,-23.2951798926715,-19.61734869285561,-21.238978955885447,-19.927456820732974
27,rice,23.394077723135936,75.85955132886376,-18.656747505434907,-15.787119206793678,-14.596328226273696,-17.56675356949293,-18.104800389601778,-21.872692746523388,-17.22271693377737,-20.9677011945592,-36.51958135448078,-21.20196562918148,-24.248791780777378,-19.41379721019433
28,rice,23.39596831046568,75.85268487378563,-13.44848987882708,-18.59916036366704,-19.227004635855195,-12.079830429214535,-15.379743686644233,-23.493654018278427,-21.597881793109455,-20.68838296155977,-19.58472356079052,-25.374123325150112,-20.340135615092457,-18.019188382076724
29,rice,23.392502213078146,75.85714806958642,-19.111557398984253,-17.99307858323893,-14.667393013737763,-15.885463311322724,-13.58794656760735,-15.041676304553189,-19.33577368873189,-20.4983116969284,-22.775299510178225,-21.37015463335448,-27.015036178943955,-21.66113081599524
30,rice,23.392502213078146,75.8671044294497,-16.560787078085077,-18.74370556062025,-15.721093573422497,-16.0297793234087,-22.33968327282565,-15.117454102751251,-20.50077568518844,-31.963155418057173,-21.93874264399488,-20.000033668068053,-16.694628064053266,-19.977799855779917
31,rice,23.38399413494481,75.86264123364892,-15.42570671888641,-18.909831777619125,-16.59024564405166,-16.48385817631265,-13.87497298114118,-18.094886578029467,-14.973333940514484,-15.46878580961009,-13.336933761853222,-16.02386691554454,-13.224528279134798,-14.038184054225516
32,rice,23.4010097447216,76.01095666333642,-21.08352758336182,-15.334351522523022,-14.04176465663565,-14.047796008448367,-16.512416923262958,-11.820770100785614,-25.437891515349925,-17.550160388506512,-22.476463614736566,-19.311415598746265,-21.59420487044124,-17.966481541316817
33,rice,23.40132482798917,76.04116906568017,-17.258523118550567,-14.633019295170705,-19.25252640029862,-17.74726992964387,-19.010990985812747,-20.356854867550464,-19.21671092817122,-18.13647795562008,-19.446415763479614,-30.655216403069563,-24.635614593757357,-19.27623949268024
34,rice,23.38241850496085,76.02949609204735,-21.193498948806397,-15.886236241240049,-13.13996932322129,-13.764102866421444,-13.295244331031686,-12.586478613156547,-16.418812934633554,-19.408938938251424,-21.59108324466675,-16.711790640476615,-20.62559654918782,-20.224838013940406
35,rice,23.38430925869332,75.96357812329735,-14.823573024534614,-15.235081049945084,-16.116459003293745,-14.82182256568916,-17.248050745887337,-14.757600344956607,-16.238752190412892,-13.23759773085004,-18.215204461208803,-17.361101817876573,-31.241182692471916,-19.936112524791124
36,rice,23.3877755704622,76.01988305493798,-14.740804321990884,-12.49594873150604,-15.452910623658957,-16.80424294372177,-14.586390316924373,-16.352412681728026,-13.4559264309119,-17.961061027498825,-13.83426724592433,-14.062835063210958,-17.331035227995432,-17.110565319241154
37,rice,23.40227007329273,75.99482049390282,-37.02861094520264,-26.95884563227425,-22.9158984259902,-21.198093288860747,-27.68387912031384,-24.408862455790175,-16.78896124904902,-22.305732824309203,-17.89076714348559,-20.732197596480432,-21.28112175638406,-17.74087435944394
38,rice,23.363824656555305,75.99859704419579,-15.21412473942096,-16.65281167088128,-12.701883752582862,-15.174762020536567,-17.9552991891647,-15.652876169018777,-14.64779569749539,-16.9897559574117,-18.62790566884013,-14.608629676681756,-17.810819534171173,-19.161109681374707
39,rice,23.374855220265367,76.00649346753563,-19.179891268224832,-15.358451040777778,-15.172612616218936,-16.14077629233952,-15.894200343488084,-21.761218880898703,-21.120375656196085,-20.91132441504477,-21.71072354445628,-18.493149356315843,-38.58083519585412,-19.999400312055517
