id,crpname_eg,lat,lon,20231016,20231109,20231203,20231227,20240108,20240120,20240225,20240308,20240320,20240401,20240413,20240425
38,rice,23.363824656555305,75.99859704419579,-10.272380923985724,-10.339813773851422,-6.9041615874648254,-12.390136289672444,-12.795226141548984,-10.29005964869083,-16.27738393100357,-10.386859679340027,-8.767196326950966,-12.283367909118558,-10.00097368040912,-14.516422251194916
39,rice,23.374855220265367,76.00649346753563,-11.131654577094356,-8.691172994105749,-7.168094711077955,-8.875109502442145,-9.021051596961623,-16.018497769626954,-14.901944363554012,-7.760956515328257,-10.59309141941821,-13.694016555039932,-16.733967890435036,-16.46957823282754
40,rice,23.382733632456468,75.98726739331688,-7.981369493665889,-9.519395042993036,-9.249592691289386,-6.329279817281623,-9.05610712216278,-10.72709114645222,-11.983545290980048,-10.359747962434067,-8.932375821420116,-10.266173349799557,-10.195884394716291,-9.122055470668402
41,rice,23.389666247747265,76.08614434644188,-8.550361712929874,-11.820146165575077,-12.138127916379457,-11.097002434714778,-12.819835526621864,-8.496868322202012,-9.946775814482956,-11.383742601587334,-9.841870900038504,-9.099007751894204,-7.558761066137122,-9.867422372363515
42,rice,23.412037212869425,76.09575738355126,-7.760983180875418,-11.83935253691734,-11.341310443858989,-11.546779174101436,-11.921954170330222,-15.479498629208264,-10.418813570198322,-9.734872976045173,-11.944544725734826,-14.243471427986488,-8.53275700410127,-9.43742865565713
43,rice,23.4038454671342,76.07550134107079,-14.702950588790197,-11.976684837187454,-14.861982676079036,-12.468852454595932,-13.20684279012621,-12.56586333028459,-13.699119343449455,-13.52753850848831,-14.326391096842478,-10.925675522202283,-15.394936561779836,-15.18207737567259
44,rice,23.415187749291277,76.07206811353173,-10.171075399995452,-17.056551709632924,-13.214662650454482,-16.747040397912603,-12.299237764997455,-11.40281658008284,-12.962511339067335,-19.088968644933377,-14.77499105028078,-15.09948311269007,-13.399686289876554,-15.745466228511171
45,rice,23.41298238167262,76.05455865308251,-7.295312913197743,-9.943674880691592,-8.522120115996636,-12.521746879129294,-11.617449214576784,-13.348834649522423,-12.776654281897192,-14.369031609450094,-10.593751712256532,-9.948702351954164,-11.817494948778434,-10.534329673766788
46,rice,23.39596831046568,76.05318536206688,-8.804731647635487,-11.284938704905482,-9.770640013087238,-13.16477962326357,-8.195783924268703,-15.88089755078208,-13.465088887063114,-13.429607788538968,-12.619203861299503,-14.189929440748363,-7.395724437227917,-9.715802402834404
47,rice,23.402585153560803,76.05902184888329,-6.201457365632532,-6.944880431957074,-8.76757637425986,-8.60626182247027,-7.927899879237659,-10.671279040533006,-9.729813553175854,-6.938804051431543,-5.642172717412482,-5.53457518151109,-9.174754954535068,-7.083063663342567
48,rice,23.37485522026537,76.08339776441063,-11.216124161084286,-8.351927881974355,-9.3726758899272,-13.207804730253226,-8.67394631700003,-13.961890907108348,-11.515099400989827,-11.915606178352816,-10.86263721532412,-9.924320596047297,-10.842373079508958,-13.328267579522157
49,rice,23.365085338848264,76.06108178540673,-7.961483532788456,-9.85116767162641,-6.488216195626889,-11.597324651671562,-14.707987053908544,-17.97318592902207,-16.037481144799163,-13.267495247375686,-14.389255342541444,-14.78754776573992,-13.958629121270183,-7.765440559846341
50,rice,23.38021259150893,76.05043878003563,-9.229641765887246,-9.491345442514314,-7.685903975164709,-8.996254417541124,-16.36595944396306,-11.436223522564488,-13.483090624196745,-13.19094462389018,-15.299136081899595,-9.403221866478106,-8.475791327533178,-9.881847442062051
